 195902170322  2.5  -124.120   49.600   PGC             Mw   2.5 Mq     2.50
 195612052303  2.0  -122.594   49.390   PGC     29.00   Mw   2.0 Mq     2.00
 195612071246  2.3  -123.864   50.246   PGC     10.00   Mw   2.3 Mq     2.30
 195908020948  2.5  -126.150   49.570   PGC             Mw   2.5 Mq     2.50
 195908131356  2.7  -124.450   48.720   PGC             Mw   2.7 Mq     2.70
 195612262054  2.4  -122.046   49.159   PGC      5.00   Mw   2.4 Mq     2.40
 195908142115  2.7  -123.620   49.350   PGC             Mw   2.7 Mq     2.70
 195612272337  2.1  -124.500   49.900   PGC             Mw   2.1 Mq     2.10
 195701021347  2.0  -123.670   49.689   PGC      7.00   Mw   2.0 Mq     2.00
 195701022139  2.0  -123.800   49.700   PGC             Mw   2.0 Mq     2.00
 195910220110  2.5  -124.100   50.200   PGC             Mw   2.5 Mq     2.50
 195701030606  2.4  -123.605   49.689   PGC     29.00   Mw   2.4 Mq     2.40
 195701051358  2.2  -123.518   49.674   PGC     15.00   Mw   2.2 Mq     2.20
 196002111235  2.5  -123.770   49.820   PGC             Mw   2.5 Mq     2.50
 195702211818  2.4  -124.600   49.700   PGC             Mw   2.4 Mq     2.40
 196012080230  2.6  -123.470   49.730   PGC             Mw   2.6 Mq     2.60
 196103040944  2.7  -125.430   48.950   PGC             Mw   2.7 Mq     2.70
 196103310309  2.5  -124.800   48.700   PGC             Mw   2.5 Mq     2.50
 196108221941  2.6  -123.620   49.370   PGC             Mw   2.6 Mq     2.60
 195703220149  2.3  -124.030   49.470   PGC             Mw   2.3 Mq     2.30
 196112182208  2.7  -122.800   48.830   PGC             Mw   2.7 Mq     2.70
 196206170018  2.5  -124.570   48.870   PGC             Mw   2.5 Mq     2.50
 195703240033  2.1  -122.300   49.000   PGC             Mw   2.1 Mq     2.10
 196206211429  2.5  -124.200   49.900   PGC             Mw   2.5 Mq     2.50
 196207290532  2.7  -124.100   49.900   PGC             Mw   2.7 Mq     2.70
