# mean, investigation_time=50.0
lon,lat,0.02~SA(2.0),0.02~SA(5.0),0.1~SA(2.0),0.1~SA(5.0)
-81.20000,46.58000,3.540336E-02,9.162794E-03,1.113065E-02,2.488644E-03
-81.17000,48.50000,3.193733E-02,7.905885E-03,9.307829E-03,1.963790E-03
-81.15000,44.12000,3.245027E-02,8.472653E-03,1.079313E-02,2.453894E-03
-81.15000,44.75000,3.322608E-02,8.727640E-03,1.107651E-02,2.533738E-03
-81.13000,43.25000,3.209721E-02,8.227112E-03,1.039907E-02,2.316114E-03
-81.08000,42.88000,3.231709E-02,8.179476E-03,1.025386E-02,2.255809E-03
-81.08000,44.28000,3.300442E-02,8.644872E-03,1.101461E-02,2.516800E-03
-81.07000,42.98000,3.242230E-02,8.237412E-03,1.035563E-02,2.287731E-03
-81.03000,44.15000,3.315099E-02,8.674259E-03,1.106178E-02,2.526870E-03
-81.02000,49.07000,3.366096E-02,7.936033E-03,9.210137E-03,1.871661E-03
-81.00000,43.07000,3.285555E-02,8.382672E-03,1.056786E-02,2.350316E-03
-81.00000,46.50000,3.717000E-02,9.643661E-03,1.169691E-02,2.626916E-03
-80.95000,43.37000,3.317808E-02,8.553120E-03,1.085348E-02,2.444973E-03
-80.95000,43.73000,3.329583E-02,8.657247E-03,1.103858E-02,2.510559E-03
-80.93000,44.57000,3.422943E-02,9.007678E-03,1.147591E-02,2.635500E-03
-80.92000,43.57000,3.340562E-02,8.658275E-03,1.102516E-02,2.500813E-03
-80.90000,43.15000,3.347178E-02,8.572784E-03,1.083624E-02,2.427332E-03
-80.88000,43.03000,3.353108E-02,8.557023E-03,1.079284E-02,2.408566E-03
-80.83000,43.32000,3.391943E-02,8.738199E-03,1.109118E-02,2.505483E-03
-80.82000,42.65000,3.348425E-02,8.438851E-03,1.057269E-02,2.324663E-03
-80.82000,44.17000,3.433912E-02,9.006405E-03,1.151718E-02,2.641958E-03
-80.75000,43.13000,3.438599E-02,8.809876E-03,1.114959E-02,2.509409E-03
-80.73000,42.85000,3.414919E-02,8.684834E-03,1.093756E-02,2.437926E-03
-80.73000,43.98000,3.466900E-02,9.070826E-03,1.161455E-02,2.661460E-03
-80.72000,51.32000,1.864070E-02,4.329068E-03,5.363213E-03,1.052977E-03
-80.68000,48.77000,3.530457E-02,8.596843E-03,1.004780E-02,2.106720E-03
-80.65000,44.32000,3.539030E-02,9.306173E-03,1.191487E-02,2.741728E-03
-80.62000,43.30000,3.532444E-02,9.089221E-03,1.155085E-02,2.614539E-03
