 197909040428  2.6  -127.650   62.580   GSC     18.00 G Mwp  2.6 MN     2.60
 198103051944  2.7  -124.040   63.130   GSC     18.00 G Mwp  2.7 MN     2.70
 198106132007  2.8  -125.910   63.390   GSC     18.00 G Mwp  2.8 MN     2.80
 198110100746  2.8  -129.250   63.140   GSC     18.00 G Mwp  2.8 ML     2.80
 198201052024  2.7  -123.540   62.150   GSC     18.00 G Mwp  2.7 ML     2.70
 198203182128  2.5  -123.470   64.390   GSC     18.00 G Mwp  2.5 MN     2.50
 198205060417  2.8  -128.810   63.520   GSC     18.00 G Mwp  2.8 ML     2.80
 198209190716  2.5  -124.480   62.630   GSC     18.00 G Mwp  2.5 ML     2.50
 198302200734  2.5  -123.980   63.000   GSC     18.00 G Mwp  2.5 MN     2.50
 198311131036  2.9  -123.310   62.070   GSC     18.00 G Mwp  2.9 ML     2.90
 198403141634  2.6  -124.430   60.300   GSC     18.00 G Mwp  2.6 ML     2.60
 198501291022  2.9  -124.780   63.100   GSC     18.00 G Mwp  2.9 ML     2.90
 198503211729  2.7  -128.600   65.920   GSC     18.00 G Mwp  2.7 ML     2.70
 198510051701  2.9  -124.240   62.190   GSC     10.00 G Mwp  2.9 MN     2.90
 198510051835  2.9  -124.240   62.190   GSC     10.00 G Mwp  2.9 MN     2.90
 198510060352  2.9  -124.240   62.190   GSC     10.00 G Mwp  2.9 MN     2.90
 198510162220  2.9  -124.240   62.190   GSC     10.00 G Mwp  2.9 MN     2.90
 198510252355  2.7  -130.680   65.100   GSC     18.00 G Mwp  2.7 ML     2.70
 198511280600  2.9  -124.240   62.190   GSC     10.00 G Mwp  2.9 MN     2.90
 198512152217  2.9  -124.240   62.190   GSC     10.00 G Mwp  2.9 MN     2.90
 198512230630  2.9  -124.240   62.190   GSC     10.00 G Mwp  2.9 MN     2.90
 198512232021  2.9  -124.240   62.190   GSC     10.00 G Mwp  2.9 MN     2.90
 198512241137  2.9  -124.240   62.190   GSC     10.00 G Mwp  2.9 MN     2.90
 198512242237  2.9  -124.240   62.190   GSC     10.00 G Mwp  2.9 MN     2.90
 198512250618  2.9  -124.240   62.190   GSC     10.00 G Mwp  2.9 MN     2.90
 198512312322  2.9  -124.240   62.190   GSC     10.00 G Mwp  2.9 MN     2.90
 198601032123  2.9  -124.240   62.190   GSC     10.00 G Mwp  2.9 MN     2.90
 198601041834  2.8  -124.240   62.190   GSC     10.00 G Mwp  2.8 MN     2.80
 198601050544  2.8  -124.240   62.190   GSC     10.00 G Mwp  2.8 MN     2.80
 198601061552  2.9  -124.240   62.190   GSC     10.00 G Mwp  2.9 MN     2.90
 198601070651  2.9  -124.240   62.190   GSC     10.00 G Mwp  2.9 MN     2.90
 198601072244  2.8  -124.240   62.190   GSC     10.00 G Mwp  2.8 MN     2.80
 198601080306  2.9  -124.240   62.190   GSC     10.00 G Mwp  2.9 MN     2.90
