 198510121316  3.6  -124.344   62.359   GSC     10.00 G Mwp  3.6 MN     3.60
 198510121616  3.4  -124.240   62.190   GSC     10.00 G Mwp  3.4 MN     3.40
 198510121900  3.1  -124.240   62.190   GSC     10.00 G Mwp  3.1 MN     3.10
 198510122112  4.4  -124.400   62.211   GSC     10.00 G Mwp  4.4 MN     4.40
 198510122114  4.5  -124.387   62.300   GSC     10.00 G Mwp  4.5 MN     4.50
 198510122115  4.6  -124.240   62.190   GSC     10.00 G Mwp  4.6 MN     4.60
 198510130423  4.3  -124.264   61.978   GSC     10.00 G Mwp  4.3 MN     4.30
 198510131716  4.2  -124.211   62.320   GSC     10.00 G Mwp  4.2 MN     4.20
 198510132057  3.6  -124.290   62.170   GSC     10.00 G Mwp  3.6 MN     3.60
 198510140438  3.6  -124.317   62.256   GSC     10.00 G Mwp  3.6 MN     3.60
 198510140642  3.6  -124.240   62.190   GSC     10.00 G Mwp  3.6 MN     3.60
 198510141010  3.1  -124.240   62.190   GSC     10.00 G Mwp  3.1 MN     3.10
 198510142320  4.2  -124.263   62.093   GSC     10.00 G Mwp  4.2 MN     4.20
 198510150508  3.5  -124.240   62.190   GSC     10.00 G Mwp  3.5 MN     3.50
 198510150714  3.4  -124.240   62.190   GSC     10.00 G Mwp  3.4 MN     3.40
 198510151158  3.1  -124.240   62.190   GSC     10.00 G Mwp  3.1 MN     3.10
 198510151341  3.7  -124.428   62.264   GSC     10.00 G Mwp  3.7 MN     3.70
 198510151727  3.1  -124.240   62.190   GSC     10.00 G Mwp  3.1 MN     3.10
 198510161845  4.5  -124.341   62.108   GSC     10.00 G Mwp  4.5 MN     4.50
 198510190351  3.2  -124.245   62.213   GSC     10.00 G Mwp  3.2 MN     3.20
 198510190712  3.2  -124.240   62.190   GSC     10.00 G Mwp  3.2 MN     3.20
 198510191542  3.0  -124.240   62.190   GSC     10.00 G Mwp  3.0 MN     3.00
 198510211242  4.8  -124.321   62.054   GSC     10.00 G Mwp  4.8 MN     4.80
 198510211823  3.5  -124.042   62.170   GSC     10.00 G Mwp  3.5 MN     3.50
 198510211921  3.1  -124.240   62.190   GSC     10.00 G Mwp  3.1 MN     3.10
 198510230316  3.0  -124.240   62.190   GSC     10.00 G Mwp  3.0 MN     3.00
 198510231347  3.2  -124.240   62.190   GSC     10.00 G Mwp  3.2 MN     3.20
 198510240429  3.0  -124.240   62.190   GSC     10.00 G Mwp  3.0 MN     3.00
 198510240526  3.5  -124.221   62.202   GSC     10.00 G Mwp  3.5 MN     3.50
 198510250644  3.2  -124.240   62.190   GSC     10.00 G Mwp  3.2 MN     3.20
 198510250855  3.3  -124.240   62.190   GSC     10.00 G Mwp  3.3 MN     3.30
 198510251613  3.0  -124.240   62.190   GSC     10.00 G Mwp  3.0 MN     3.00
 198510270351  3.3  -124.240   62.190   GSC     10.00 G Mwp  3.3 MN     3.30
 198510270921  3.9  -124.415   62.353   GSC     10.00 G Mwp  3.9 MN     3.90
 198510280138  3.9  -124.330   62.042   GSC     10.00 G Mwp  3.9 MN     3.90
 198510280254  3.2  -124.467   62.224   GSC     10.00 G Mwp  3.2 MN     3.20
 198510281036  3.2  -124.240   62.190   GSC     10.00 G Mwp  3.2 MN     3.20
 198510281821  3.3  -124.240   62.190   GSC     10.00 G Mwp  3.3 MN     3.30
 198510281959  3.2  -124.240   62.190   GSC     10.00 G Mwp  3.2 MN     3.20
 198510291000  3.1  -124.240   62.190   GSC     10.00 G Mwp  3.1 MN     3.10
 198510310918  3.8  -124.288   62.298   GSC     10.00 G Mwp  3.8 MN     3.80
 198510311717  3.2  -124.240   62.190   GSC     10.00 G Mwp  3.2 MN     3.20
 198510311740  3.0  -124.240   62.190   GSC     10.00 G Mwp  3.0 MN     3.00
 198511061246  3.2  -124.300   62.199   GSC     10.00 G Mwp  3.2 MN     3.20
 198511081119  3.4  -124.240   62.190   GSC     10.00 G Mwp  3.4 MN     3.40
 198511090446  4.6  -124.263   62.247   GSC     10.00 G Mwp  4.6 MN     4.60
 198511100533  3.8  -124.263   62.314   GSC     10.00 G Mwp  3.8 MN     3.80
 198511112035  3.5  -124.323   62.312   GSC     10.00 G Mwp  3.5 MN     3.50
 198511121449  4.0  -124.412   62.197   GSC     10.00 G Mwp  4.0 MN     4.00
 198511130422  3.3  -124.332   61.948   GSC     10.00 G Mwp  3.3 MN     3.30
 198511131147  3.6  -124.147   62.393   GSC     10.00 G Mwp  3.6 MN     3.60
 198511141502  3.4  -124.240   62.190   GSC     10.00 G Mwp  3.4 MN     3.40
 198511141707  3.6  -124.250   62.249   GSC     10.00 G Mwp  3.6 MN     3.60
 198511150534  3.2  -124.240   62.190   GSC     10.00 G Mwp  3.2 MN     3.20
 198511160926  3.0  -124.240   62.190   GSC     10.00 G Mwp  3.0 MN     3.00
 198511181114  3.4  -124.263   62.268   GSC     10.00 G Mwp  3.4 MN     3.40
 198511192305  3.9  -124.390   62.305   GSC     10.00 G Mwp  3.9 MN     3.90
 198511230509  3.5  -124.273   62.301   GSC     10.00 G Mwp  3.5 MN     3.50
 198511241929  4.0  -124.218   62.070   GSC     10.00 G Mwp  4.0 MN     4.00
 198511251649  3.1  -124.240   62.190   GSC     10.00 G Mwp  3.1 MN     3.10
 198511280005  3.2  -124.240   62.190   GSC     10.00 G Mwp  3.2 MN     3.20
 198511301204  3.0  -124.240   62.190   GSC     10.00 G Mwp  3.0 MN     3.00
 198511301417  3.2  -124.240   62.190   GSC     10.00 G Mwp  3.2 MN     3.20
 198511301852  3.5  -124.240   62.190   GSC     10.00 G Mwp  3.5 MN     3.50
 198511302128  3.7  -124.256   61.977   GSC     10.00 G Mwp  3.7 MN     3.70
 198512041140  3.3  -124.240   62.190   GSC     10.00 G Mwp  3.3 MN     3.30
 198512041141  3.3  -124.120   62.204   GSC     10.00 G Mwp  3.3 MN     3.30
 198512051938  3.1  -124.240   62.190   GSC     10.00 G Mwp  3.1 MN     3.10
 198512060618  3.1  -124.240   62.190   GSC     10.00 G Mwp  3.1 MN     3.10
 198512061854  3.4  -124.240   62.190   GSC     10.00 G Mwp  3.4 MN     3.40
 198512071529  4.0  -124.389   62.212   GSC     10.00 G Mwp  4.0 MN     4.00
 198512120045  3.4  -124.136   62.153   GSC     10.00 G Mwp  3.4 MN     3.40
 198512140521  3.7  -124.354   62.321   GSC     10.00 G Mwp  3.7 MN     3.70
 198512141542  3.1  -125.890   62.580   GSC     18.00 G Mwp  3.1 ML     3.10
 198512150922  3.8  -124.061   62.201   GSC     10.00 G Mwp  3.8 MN     3.80
 198512161156  3.6  -124.243   62.021   GSC     10.00 G Mwp  3.6 MN     3.60
 198512170419  3.1  -124.240   62.190   GSC     10.00 G Mwp  3.1 MN     3.10
 198512200634  3.6  -124.287   62.095   GSC     10.00 G Mwp  3.6 MN     3.60
 198512230516  6.7  -124.324   62.117   GEM     10.00   Mw   6.7 Mw     6.70
 198512230527  4.1  -124.240   62.190   GSC     10.00 G Mwp  4.1 MN     4.10
 198512230527  4.3  -124.240   62.190   GSC     10.00 G Mwp  4.3 MN     4.30
 198512230536  3.0  -124.240   62.190   GSC     10.00 G Mwp  3.0 MN     3.00
 198512230548  5.2  -124.380   62.140   GSC     10.00 G Mwp  5.2 MN     5.20
 198512230557  3.9  -124.386   62.160   GSC     10.00 G Mwp  3.9 MN     3.90
 198512230602  4.1  -124.522   62.006   GSC     10.00 G Mwp  4.1 MN     4.10
 198512230606  4.1  -124.552   61.944   GSC     10.00 G Mwp  4.1 MN     4.10
 198512230611  4.0  -124.836   62.119   GSC     10.00 G Mwp  4.0 MN     4.00
 198512230617  3.3  -124.240   62.190   GSC     10.00 G Mwp  3.3 MN     3.30
 198512230620  3.3  -124.240   62.190   GSC     10.00 G Mwp  3.3 MN     3.30
 198512230639  3.3  -124.240   62.190   GSC     10.00 G Mwp  3.3 MN     3.30
 198512230647  3.9  -124.394   62.102   GSC     10.00 G Mwp  3.9 MN     3.90
 198512230655  3.0  -124.240   62.190   GSC     10.00 G Mwp  3.0 MN     3.00
 198512230707  3.1  -124.240   62.190   GSC     10.00 G Mwp  3.1 MN     3.10
 198512230715  3.5  -124.240   62.190   GSC     10.00 G Mwp  3.5 MN     3.50
 198512230718  3.4  -124.240   62.190   GSC     10.00 G Mwp  3.4 MN     3.40
 198512230724  3.0  -124.240   62.190   GSC     10.00 G Mwp  3.0 MN     3.00
 198512230730  3.2  -124.240   62.190   GSC     10.00 G Mwp  3.2 MN     3.20
 198512230734  3.3  -124.240   62.190   GSC     10.00 G Mwp  3.3 MN     3.30
 198512230735  3.7  -124.344   61.859   GSC     10.00 G Mwp  3.7 MN     3.70
 198512230742  3.7  -124.159   61.994   GSC     10.00 G Mwp  3.7 MN     3.70
 198512230802  3.7  -124.378   61.981   GSC     10.00 G Mwp  3.7 MN     3.70
 198512230810  4.2  -124.228   62.186   GSC     10.00 G Mwp  4.2 MN     4.20
 198512230814  3.9  -124.437   61.955   GSC     10.00 G Mwp  3.9 MN     3.90
 198512230818  3.2  -124.240   62.190   GSC     10.00 G Mwp  3.2 MN     3.20
 198512230825  3.5  -124.240   62.190   GSC     10.00 G Mwp  3.5 MN     3.50
 198512230833  3.1  -124.240   62.190   GSC     10.00 G Mwp  3.1 MN     3.10
 198512230902  3.1  -124.240   62.190   GSC     10.00 G Mwp  3.1 MN     3.10
 198512230937  4.8  -124.271   61.966   GSC     10.00 G Mwp  4.8 MN     4.80
 198512230946  3.7  -124.405   62.048   GSC     10.00 G Mwp  3.7 MN     3.70
 198512230956  3.7  -124.332   62.041   GSC     10.00 G Mwp  3.7 MN     3.70
 198512231015  3.0  -124.240   62.190   GSC     10.00 G Mwp  3.0 MN     3.00
 198512231018  3.8  -124.414   62.234   GSC     10.00 G Mwp  3.8 MN     3.80
 198512231127  4.3  -124.393   62.243   GSC     10.00 G Mwp  4.3 MN     4.30
 198512231152  3.8  -124.419   62.105   GSC     10.00 G Mwp  3.8 MN     3.80
 198512231214  3.0  -124.240   62.190   GSC     10.00 G Mwp  3.0 MN     3.00
 198512231421  3.0  -124.240   62.190   GSC     10.00 G Mwp  3.0 MN     3.00
 198512231430  3.4  -124.209   62.025   GSC     10.00 G Mwp  3.4 MN     3.40
 198512231512  3.4  -124.240   62.190   GSC     10.00 G Mwp  3.4 MN     3.40
 198512231525  3.0  -124.240   62.190   GSC     10.00 G Mwp  3.0 MN     3.00
