# Difference between AtkinsonMacias2009.vs115.h15.txt and AtkinsonMacias2009.vs450.h15.txt ground motions in regular (non-log) units
#           14 31 25 : nmag, ndist, nperiod
#           10.000 7.692 6.250 5.000 4.000 3.125 2.500 2.000 1.587 1.266 1.000 0.794 0.633 0.500 0.400 0.316 0.250 0.200 0.159 0.125 0.100 0.079 0.063 0.050 PGA PGV
#           0.875 0.806 0.783 0.737 0.691 0.691 0.691 0.691 0.668 0.668 0.668 0.645 0.645 0.622 0.622 0.622 0.622 0.622 0.622 0.622 0.622 0.622 0.599 0.599 0.553 0.599
5.000	1.260	2.443	2.844	3.184	3.499	3.715	3.776	3.581	2.624	0.817	0.212	0.094	0.043	0.031	0.034	0.024	0.023	0.021	0.023	0.024	0.029	0.034	0.038	0.040	0.030	0.057	0.044
5.000	1.580	2.449	2.844	3.184	3.508	3.715	3.784	3.581	2.630	0.822	0.216	0.096	0.044	0.032	0.035	0.025	0.023	0.022	0.023	0.024	0.030	0.035	0.039	0.040	0.031	0.059	0.044
5.000	2.000	2.449	2.844	3.184	3.499	3.715	3.784	3.581	2.642	0.834	0.221	0.099	0.045	0.033	0.037	0.026	0.024	0.022	0.024	0.025	0.031	0.036	0.040	0.042	0.032	0.060	0.046
5.000	2.510	2.443	2.851	3.184	3.499	3.715	3.784	3.589	2.655	0.849	0.229	0.103	0.048	0.036	0.039	0.027	0.026	0.024	0.026	0.027	0.032	0.038	0.042	0.044	0.034	0.063	0.048
5.000	3.160	2.443	2.844	3.177	3.508	3.724	3.784	3.597	2.679	0.875	0.241	0.110	0.052	0.039	0.042	0.030	0.028	0.026	0.028	0.029	0.035	0.041	0.045	0.047	0.036	0.067	0.051
5.000	3.980	2.449	2.844	3.177	3.499	3.715	3.793	3.614	2.704	0.910	0.259	0.121	0.058	0.043	0.047	0.034	0.032	0.029	0.031	0.032	0.039	0.045	0.049	0.051	0.040	0.074	0.056
5.000	5.010	2.449	2.844	3.177	3.508	3.715	3.793	3.622	2.742	0.959	0.286	0.137	0.067	0.051	0.055	0.040	0.037	0.034	0.037	0.037	0.044	0.051	0.056	0.058	0.046	0.083	0.063
5.000	6.310	2.449	2.844	3.184	3.508	3.715	3.802	3.648	2.799	1.023	0.322	0.160	0.080	0.062	0.066	0.048	0.045	0.042	0.044	0.045	0.053	0.060	0.065	0.068	0.054	0.096	0.073
5.000	7.940	2.449	2.844	3.177	3.508	3.724	3.811	3.664	2.858	1.107	0.372	0.191	0.100	0.078	0.083	0.061	0.058	0.053	0.055	0.056	0.065	0.073	0.079	0.081	0.066	0.115	0.087
5.000	10.000	2.443	2.844	3.177	3.508	3.724	3.819	3.698	2.931	1.211	0.440	0.236	0.129	0.102	0.107	0.081	0.076	0.069	0.072	0.072	0.082	0.091	0.098	0.100	0.083	0.140	0.107
5.000	12.590	2.449	2.844	3.177	3.508	3.724	3.828	3.724	3.013	1.330	0.525	0.296	0.169	0.136	0.142	0.109	0.102	0.093	0.095	0.094	0.106	0.116	0.123	0.126	0.105	0.175	0.133
5.000	15.850	2.449	2.844	3.184	3.508	3.724	3.837	3.750	3.105	1.476	0.635	0.377	0.224	0.184	0.191	0.148	0.139	0.127	0.128	0.126	0.139	0.149	0.158	0.161	0.137	0.220	0.168
5.000	19.950	2.449	2.844	3.177	3.508	3.733	3.846	3.784	3.192	1.644	0.773	0.482	0.302	0.252	0.259	0.205	0.192	0.175	0.175	0.169	0.183	0.195	0.202	0.206	0.179	0.280	0.214
5.000	25.120	2.449	2.844	3.177	3.508	3.733	3.855	3.819	3.289	1.828	0.940	0.619	0.407	0.347	0.352	0.284	0.266	0.241	0.238	0.228	0.242	0.254	0.262	0.265	0.235	0.356	0.272
5.000	31.620	2.443	2.844	3.177	3.508	3.741	3.864	3.846	3.388	2.032	1.140	0.793	0.547	0.474	0.480	0.393	0.367	0.332	0.323	0.306	0.319	0.330	0.337	0.340	0.307	0.452	0.347
5.000	39.810	2.449	2.844	3.177	3.508	3.733	3.873	3.873	3.483	2.249	1.380	1.007	0.729	0.644	0.644	0.538	0.502	0.453	0.436	0.409	0.419	0.427	0.431	0.435	0.398	0.571	0.438
5.000	50.120	2.443	2.844	3.184	3.508	3.741	3.882	3.917	3.581	2.483	1.656	1.268	0.962	0.863	0.857	0.728	0.678	0.610	0.581	0.540	0.541	0.545	0.545	0.547	0.511	0.713	0.547
5.000	63.100	2.449	2.844	3.184	3.508	3.750	3.899	3.945	3.673	2.723	1.959	1.570	1.242	1.135	1.117	0.962	0.897	0.805	0.757	0.697	0.689	0.684	0.678	0.679	0.644	0.879	0.675
5.000	79.430	2.449	2.844	3.184	3.508	3.750	3.899	3.972	3.758	2.958	2.286	1.905	1.567	1.452	1.422	1.239	1.156	1.038	0.964	0.881	0.857	0.841	0.826	0.826	0.796	1.062	0.815
5.000	100.000	2.449	2.844	3.184	3.508	3.750	3.908	3.990	3.846	3.184	2.618	2.270	1.928	1.807	1.758	1.552	1.449	1.294	1.194	1.084	1.040	1.012	0.986	0.982	0.959	1.253	0.964
5.000	125.890	2.449	2.844	3.184	3.508	3.750	3.908	4.009	3.908	3.388	2.938	2.624	2.301	2.178	2.104	1.879	1.754	1.563	1.432	1.294	1.227	1.183	1.146	1.140	1.127	1.442	1.112
5.000	158.490	2.449	2.844	3.184	3.508	3.750	3.917	4.027	3.963	3.565	3.228	2.965	2.655	2.541	2.443	2.203	2.056	1.832	1.663	1.493	1.403	1.343	1.297	1.288	1.282	1.622	1.250
