# mean, investigation_time=50.0
lon,lat,0.02~PGA,0.02~SA(0.1),0.02~SA(0.2),0.02~SA(0.5),0.02~SA(1.0),0.02~SA(2.0),0.02~SA(5.0),0.02~SA(10.0),0.1~PGA,0.1~SA(0.1),0.1~SA(0.2),0.1~SA(0.5),0.1~SA(1.0),0.1~SA(2.0),0.1~SA(5.0),0.1~SA(10.0)
-123.26800,48.65000,7.036732E-01,1.477329E+00,1.675965E+00,1.224157E+00,6.785549E-01,4.085704E-01,1.004860E-01,3.926131E-02,3.799112E-01,7.820197E-01,8.803494E-01,6.098056E-01,3.186280E-01,1.617321E-01,3.484082E-02,1.226950E-02
-123.24400,48.70000,6.759482E-01,1.420434E+00,1.614960E+00,1.178361E+00,6.532675E-01,3.950802E-01,9.741346E-02,3.830520E-02,3.635107E-01,7.492020E-01,8.465308E-01,5.875205E-01,3.077005E-01,1.569081E-01,3.390034E-02,1.200342E-02
-123.17000,49.33000,4.612174E-01,9.645339E-01,1.086253E+00,7.672094E-01,4.309874E-01,2.648590E-01,7.159921E-02,3.026786E-02,2.317630E-01,4.743485E-01,5.383075E-01,3.707463E-01,1.994416E-01,1.055367E-01,2.484016E-02,9.369801E-03
-123.15000,49.70000,3.569729E-01,7.376628E-01,8.323961E-01,5.795036E-01,3.313244E-01,2.090811E-01,6.075480E-02,2.711784E-02,1.703948E-01,3.463261E-01,3.953919E-01,2.721169E-01,1.487230E-01,8.085641E-02,2.070452E-02,8.104749E-03
-123.14000,49.23400,4.855370E-01,1.019696E+00,1.142188E+00,8.089920E-01,4.528476E-01,2.782343E-01,7.401336E-02,3.095972E-02,2.465730E-01,5.063401E-01,5.731849E-01,3.965012E-01,2.112298E-01,1.110848E-01,2.583289E-02,9.665295E-03
-123.12000,49.25000,4.778221E-01,1.002547E+00,1.124636E+00,7.956222E-01,4.453751E-01,2.734458E-01,7.309296E-02,3.067321E-02,2.421366E-01,4.969417E-01,5.635910E-01,3.885801E-01,2.077692E-01,1.093427E-01,2.549895E-02,9.564066E-03
-123.10000,49.17000,4.985829E-01,1.049553E+00,1.172029E+00,8.302709E-01,4.642074E-01,2.848378E-01,7.508698E-02,3.127684E-02,2.549473E-01,5.246654E-01,5.913579E-01,4.086956E-01,2.174561E-01,1.141133E-01,2.636009E-02,9.818255E-03
-123.08000,49.08000,5.228524E-01,1.102267E+00,1.227785E+00,8.721523E-01,4.874204E-01,2.971452E-01,7.753750E-02,3.204638E-02,2.702513E-01,5.574755E-01,6.244136E-01,4.313272E-01,2.291883E-01,1.198628E-01,2.736558E-02,1.010245E-02
-123.07000,49.32000,4.503194E-01,9.413458E-01,1.057992E+00,7.438778E-01,4.190286E-01,2.567511E-01,6.982438E-02,2.968722E-02,2.261944E-01,4.631070E-01,5.241763E-01,3.604483E-01,1.939273E-01,1.030924E-01,2.430941E-02,9.203519E-03
-123.03000,54.98000,7.479546E-02,1.483492E-01,1.681907E-01,9.929809E-02,5.048962E-02,3.604123E-02,2.285679E-02,1.511028E-02,2.221322E-02,3.904608E-02,4.486407E-02,3.128610E-02,2.110806E-02,1.647202E-02,8.105935E-03,3.770985E-03
