ordinal,uid,model,gsim,weight
60,b1~b11_b21_b34_b44_b61_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() ChiouYoungs2014() AtkinsonBoore2003SSlabCascadia() A,0.000976562
61,b1~b11_b21_b34_b44_b62_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() ChiouYoungs2014() AtkinsonBoore2003SSlabCascadia() B,0.000976562
62,b1~b11_b21_b34_b44_b63_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() ChiouYoungs2014() AtkinsonBoore2003SSlabCascadia() C,0.000976562
63,b1~b11_b21_b34_b44_b64_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() ChiouYoungs2014() AtkinsonBoore2003SSlabCascadia() C,0.000976562
64,b1~b11_b22_b31_b41_b61_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() AbrahamsonEtAl2014() AbrahamsonEtAl2015SSlab() Abr,0.000976562
65,b1~b11_b22_b31_b41_b62_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() AbrahamsonEtAl2014() AbrahamsonEtAl2015SSlab() Boo,0.000976562
66,b1~b11_b22_b31_b41_b63_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() AbrahamsonEtAl2014() AbrahamsonEtAl2015SSlab() Cam,0.000976562
67,b1~b11_b22_b31_b41_b64_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() AbrahamsonEtAl2014() AbrahamsonEtAl2015SSlab() Chi,0.000976562
68,b1~b11_b22_b31_b42_b61_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() AbrahamsonEtAl2014() ZhaoEtAl2006SSlabCascadia() A,0.000976562
69,b1~b11_b22_b31_b42_b62_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() AbrahamsonEtAl2014() ZhaoEtAl2006SSlabCascadia() B,0.000976562
