# mean, investigation_time=50.0
lon,lat,SA(0.2)-0.02,SA(0.2)-0.1
-78.47000,44.20000,1.912344E-01,7.463700E-02
-78.32000,44.30000,1.886284E-01,7.483276E-02
-78.30000,43.95000,2.313826E-01,8.100285E-02
-78.27000,44.43000,1.863222E-01,7.479669E-02
-78.17000,43.97000,2.303258E-01,8.114960E-02
-78.13000,48.13000,1.880972E-01,7.453838E-02
-78.12000,48.57000,1.519628E-01,6.138026E-02
-77.98000,44.38000,1.950400E-01,7.777311E-02
-77.95000,44.30000,1.991653E-01,7.837891E-02
-77.88000,44.00000,2.329491E-01,8.204281E-02
-77.85000,45.05000,2.204320E-01,8.826590E-02
-77.80000,44.30000,2.038928E-01,7.991505E-02
-77.78000,48.10000,1.898529E-01,7.635824E-02
-77.73000,44.03000,2.330083E-01,8.253388E-02
-77.58000,44.10000,2.290820E-01,8.309458E-02
-77.57000,46.13000,4.665871E-01,1.555066E-01
-77.55000,44.30000,2.121646E-01,8.260845E-02
-77.50000,46.10000,4.659983E-01,1.554268E-01
-77.42000,45.55000,3.446854E-01,1.232435E-01
-77.38330,44.16670,2.285503E-01,8.431202E-02
-77.33000,45.90000,4.543053E-01,1.510669E-01
-77.23000,48.38000,1.640827E-01,6.820001E-02
-77.13000,44.00000,2.240538E-01,8.356596E-02
-77.12000,45.82000,4.558081E-01,1.522980E-01
-77.05000,44.20000,2.262386E-01,8.669853E-02
-76.95000,44.25000,2.249201E-01,8.815519E-02
-76.73000,45.85000,4.700603E-01,1.608440E-01
-76.68000,45.47000,4.295520E-01,1.460983E-01
-76.60000,45.73000,4.700876E-01,1.606647E-01
-76.48000,44.23000,2.354328E-01,9.404703E-02
-76.48000,45.60000,4.671242E-01,1.595758E-01
-76.47000,44.23000,2.358576E-01,9.422755E-02
-76.35000,45.43000,4.540835E-01,1.558656E-01
-76.25000,44.90000,3.099647E-01,1.222120E-01
-76.20000,45.23000,4.183893E-01,1.483765E-01
-76.17000,44.33000,2.588562E-01,1.038176E-01
-76.15000,45.13000,3.876948E-01,1.426818E-01
-76.05000,46.10000,5.176059E-01,1.912624E-01
-76.02000,44.90000,3.415110E-01,1.333199E-01
-75.97000,46.38000,5.197974E-01,1.956202E-01
-75.93000,45.64000,4.995288E-01,1.789306E-01
-75.91000,45.31000,4.867352E-01,1.701920E-01
-75.83000,45.40000,5.053133E-01,1.778743E-01
-75.76000,45.28000,5.133217E-01,1.795178E-01
-75.73000,45.43000,5.217378E-01,1.848218E-01
-75.69000,45.42000,5.302052E-01,1.875970E-01
-75.68000,44.59000,3.478815E-01,1.363645E-01
-75.67000,45.32000,5.396689E-01,1.883441E-01
-75.65000,45.50000,5.347748E-01,1.915453E-01
-75.64000,45.02000,4.980653E-01,1.763119E-01
-75.62000,44.63000,3.742945E-01,1.441806E-01
-75.52000,44.72000,4.507898E-01,1.638513E-01
-75.52000,45.48000,5.696175E-01,2.019497E-01
-75.50000,46.55000,5.064716E-01,1.905780E-01
-75.42000,45.58000,5.903692E-01,2.091660E-01
-75.41670,45.53330,5.982353E-01,2.096125E-01
-75.29000,45.55000,6.063436E-01,2.152132E-01
-75.25000,45.60000,5.915817E-01,2.147078E-01
-75.18000,44.90000,6.476646E-01,2.188931E-01
-74.73000,45.03000,6.928701E-01,2.392532E-01
-74.63000,45.32000,6.991989E-01,2.423674E-01
-74.62000,45.60000,6.099022E-01,2.251681E-01
-74.60000,46.12000,5.256396E-01,2.003540E-01
-74.33000,45.65000,6.180532E-01,2.264424E-01
-74.28000,46.05000,5.282014E-01,1.994234E-01
-74.14000,45.40000,7.087545E-01,2.450225E-01
-74.13000,45.25000,7.137055E-01,2.465520E-01
-74.00000,45.78000,6.342098E-01,2.235923E-01
-73.98000,45.38000,7.132754E-01,2.453402E-01
-73.93000,45.42000,7.120751E-01,2.443776E-01
-73.90000,45.56000,6.994200E-01,2.397906E-01
-73.88000,45.53000,7.037197E-01,2.410693E-01
