# mean, investigation_time=50.0, imt="SA(0.2)"
lon,lat,depth,poe-0.001,poe-0.0012369738328770429,poe-0.0015301042632225221,poe-0.0018926989351798664,poe-0.0023412190563317373,poe-0.002896026709715442,poe-0.003582309259231001,poe-0.004431222814941891,poe-0.00548130666973087,poe-0.006780232920431492,poe-0.008386970703385248,poe-0.010374463297193916,poe-0.01283293962877216,poe-0.015874010519681996,poe-0.019635735635661532,poe-0.02428889117060458,poe-0.030044722807636117,poe-0.03716453592908995,poe-0.04597155845530296,poe-0.05686561486578711,poe-0.07034127757944245,poe-0.08701031973691085,poe-0.10762948870482365,poe-0.13313486117380213,poe-0.16468433951571093,poe-0.20371021866557323,poe-0.2519842099789747,poe-0.311697874042186,poe-0.38556211395358825,poe-0.47693024590934496,poe-0.5899502342974732,poe-0.7297530025256556,poe-0.90268536858769,poe-1.1165981802639393,poe-1.3812027308246178,poe-1.7085116359283647,poe-2.1133841868093364,poe-2.614200937899276,poe-3.233698154064028,poe-3.9999999999999996
-87.88000,52.23000,0.00000,6.918975E-01,6.658010E-01,6.336036E-01,5.955542E-01,5.523269E-01,5.049538E-01,4.547184E-01,4.030311E-01,3.513168E-01,3.009309E-01,2.531011E-01,2.088811E-01,1.690976E-01,1.342957E-01,1.046992E-01,8.021094E-02,6.046268E-02,4.490242E-02,3.289175E-02,2.378817E-02,1.699971E-02,1.201252E-02,8.398998E-03,5.814396E-03,3.987909E-03,2.711529E-03,1.828669E-03,1.223606E-03,8.122902E-04,5.346730E-04,3.485135E-04,2.244996E-04,1.425102E-04,8.883036E-05,5.414068E-05,3.210910E-05,1.842909E-05,1.017413E-05,5.365979E-06,2.683391E-06
-87.52000,49.68000,0.00000,6.754353E-01,6.516169E-01,6.219069E-01,5.864262E-01,5.457132E-01,5.006750E-01,4.524924E-01,4.025075E-01,3.521160E-01,3.026804E-01,2.554635E-01,2.115665E-01,1.718659E-01,1.369537E-01,1.071007E-01,8.226010E-02,6.211619E-02,4.616548E-02,3.380641E-02,2.441727E-02,1.741143E-02,1.226914E-02,8.551127E-03,5.899712E-03,4.032595E-03,2.732787E-03,1.837261E-03,1.225941E-03,8.119627E-04,5.335346E-04,3.473937E-04,2.236756E-04,1.419982E-04,8.855262E-05,5.400916E-05,3.205661E-05,1.841387E-05,1.017384E-05,5.370157E-06,2.687843E-06
-87.25000,48.80000,0.00000,6.563520E-01,6.326350E-01,6.030579E-01,5.677968E-01,5.274684E-01,4.830608E-01,4.358154E-01,3.870913E-01,3.382489E-01,2.905690E-01,2.452026E-01,2.031325E-01,1.651317E-01,1.317191E-01,1.031291E-01,7.931208E-02,5.997264E-02,4.463895E-02,3.274316E-02,2.369445E-02,1.693274E-02,1.196075E-02,8.358019E-03,5.782289E-03,3.963417E-03,2.693547E-03,1.816138E-03,1.215489E-03,8.075585E-04,5.323377E-04,3.476929E-04,2.244923E-04,1.428321E-04,8.920320E-05,5.444236E-05,3.231227E-05,1.854965E-05,1.023893E-05,5.398065E-06,2.698202E-06
-86.95000,49.73000,0.00000,6.907673E-01,6.671170E-01,6.373469E-01,6.014522E-01,5.598855E-01,5.135441E-01,4.636896E-01,4.118173E-01,3.595057E-01,3.082816E-01,2.595176E-01,2.143617E-01,1.736864E-01,1.380510E-01,1.076840E-01,8.249761E-02,6.213937E-02,4.607298E-02,3.366747E-02,2.427561E-02,1.729014E-02,1.217644E-02,8.486064E-03,5.856955E-03,4.005824E-03,2.716539E-03,1.827545E-03,1.220136E-03,8.084524E-04,5.313566E-04,3.459874E-04,2.227260E-04,1.413355E-04,8.808687E-05,5.368786E-05,3.184305E-05,1.827850E-05,1.009238E-05,5.323760E-06,2.662879E-06
-86.70000,50.17000,0.00000,7.050064E-01,6.812279E-01,6.511694E-01,6.147674E-01,5.724331E-01,5.250566E-01,4.739366E-01,4.206457E-01,3.668615E-01,3.142081E-01,2.641343E-01,2.178360E-01,1.762071E-01,1.398091E-01,1.088590E-01,8.324821E-02,6.259719E-02,4.633996E-02,3.381709E-02,2.435718E-02,1.733448E-02,1.220148E-02,8.501425E-03,5.867381E-03,4.013441E-03,2.722237E-03,1.831724E-03,1.223058E-03,8.103654E-04,5.325130E-04,3.466268E-04,2.230502E-04,1.414934E-04,8.817157E-05,5.374643E-05,3.189228E-05,1.832043E-05,1.012517E-05,5.346597E-06,2.676955E-06
-85.28000,48.60000,0.00000,7.824079E-01,7.584201E-01,7.280895E-01,6.911641E-01,6.477554E-01,5.984020E-01,5.441054E-01,4.863021E-01,4.267517E-01,3.673598E-01,3.099819E-01,2.562543E-01,2.074731E-01,1.645208E-01,1.278331E-01,9.741285E-02,7.289287E-02,5.364032E-02,3.887770E-02,2.779334E-02,1.962291E-02,1.369717E-02,9.460701E-03,6.470845E-03,4.385547E-03,2.946859E-03,1.964148E-03,1.299002E-03,8.525238E-04,5.550733E-04,3.582575E-04,2.288597E-04,1.443412E-04,8.956398E-05,5.443275E-05,3.223228E-05,1.848719E-05,1.020474E-05,5.383173E-06,2.693234E-06
-85.22000,50.02000,0.00000,7.675173E-01,7.439262E-01,7.141903E-01,6.780559E-01,6.356208E-01,5.873923E-01,5.343153E-01,4.777482E-01,4.193725E-01,3.610435E-01,3.046080E-01,2.517268E-01,2.037270E-01,1.615064E-01,1.254945E-01,9.567440E-02,7.165971E-02,5.280812E-02,3.834518E-02,2.747231E-02,1.944355E-02,1.360841E-02,9.427300E-03,6.469286E-03,4.400319E-03,2.967882E-03,1.985216E-03,1.316794E-03,8.658163E-04,5.640062E-04,3.636785E-04,2.318203E-04,1.457822E-04,9.017825E-05,5.465567E-05,3.229838E-05,1.850316E-05,1.020970E-05,5.387208E-06,2.697106E-06
-84.78000,47.98000,0.00000,8.059865E-01,7.829386E-01,7.534148E-01,7.170187E-01,6.737470E-01,6.240729E-01,5.689861E-01,5.099568E-01,4.488087E-01,3.875248E-01,3.280382E-01,2.720609E-01,2.209670E-01,1.757246E-01,1.368617E-01,1.044667E-01,7.823607E-02,5.756809E-02,4.168361E-02,2.974424E-02,2.094468E-02,1.457016E-02,1.002220E-02,6.821509E-03,4.597147E-03,3.069490E-03,2.032010E-03,1.334728E-03,8.704250E-04,5.636676E-04,3.622670E-04,2.307139E-04,1.452078E-04,8.997768E-05,5.463412E-05,3.233126E-05,1.853569E-05,1.022803E-05,5.393872E-06,2.697761E-06
-84.78000,49.22000,0.00000,8.020263E-01,7.788754E-01,7.495272E-01,7.137259E-01,6.715335E-01,6.233531E-01,5.699527E-01,5.124810E-01,4.524523E-01,3.916713E-01,3.320860E-01,2.755856E-01,2.237890E-01,1.778726E-01,1.384788E-01,1.057166E-01,7.924587E-02,5.841257E-02,4.239660E-02,3.033841E-02,2.142756E-02,1.495215E-02,1.031774E-02,7.046693E-03,4.766887E-03,3.195874E-03,2.124215E-03,1.399832E-03,9.143223E-04,5.915926E-04,3.788584E-04,2.398414E-04,1.498183E-04,9.209387E-05,5.550229E-05,3.263932E-05,1.862260E-05,1.024153E-05,5.389581E-06,2.692606E-06
-84.33000,46.52000,0.00000,8.660524E-01,8.422335E-01,8.111323E-01,7.721331E-01,7.251886E-01,6.709506E-01,6.107634E-01,5.465014E-01,4.803035E-01,4.143068E-01,3.504616E-01,2.904431E-01,2.356151E-01,1.869930E-01,1.451896E-01,1.103699E-01,8.225694E-02,6.021234E-02,4.337253E-02,3.079685E-02,2.158554E-02,1.494978E-02,1.023866E-02,6.937840E-03,4.653608E-03,3.091740E-03,2.036262E-03,1.330900E-03,8.641439E-04,5.576907E-04,3.575986E-04,2.274490E-04,1.430856E-04,8.867359E-05,5.387315E-05,3.191081E-05,1.831696E-05,1.012144E-05,5.345382E-06,2.677225E-06
