# mean, investigation_time=50.0
lon,lat,0.02~PGA,0.02~SA(2.0),0.1~PGA,0.1~SA(2.0)
-81.85000,43.15000,5.998332E-02,2.820965E-02,2.097336E-02,9.124131E-03
-81.77000,46.25000,5.753760E-02,3.095785E-02,2.035797E-02,1.005871E-02
-81.72000,42.75000,7.427615E-02,2.904919E-02,2.473231E-02,9.164432E-03
-81.72000,43.75000,5.318668E-02,2.901574E-02,1.918340E-02,9.696040E-03
-81.68000,43.15000,6.246679E-02,2.901065E-02,2.181592E-02,9.434802E-03
-81.63000,42.95000,6.896892E-02,2.935191E-02,2.347377E-02,9.429138E-03
-81.63000,44.18000,5.110954E-02,2.975108E-02,1.867607E-02,1.007192E-02
-81.63000,49.28000,1.467997E-01,3.008446E-02,3.304958E-02,8.415671E-03
-81.60000,42.60000,8.235018E-02,2.968329E-02,2.714132E-02,9.298497E-03
-81.55000,43.13000,6.506698E-02,2.966652E-02,2.263600E-02,9.676277E-03
-81.53000,43.62000,5.685586E-02,2.988301E-02,2.044806E-02,9.998574E-03
-81.50000,42.67000,8.136402E-02,3.011168E-02,2.694037E-02,9.519245E-03
-81.48000,43.35000,6.142524E-02,3.003732E-02,2.179455E-02,9.946209E-03
-81.47000,43.28000,6.292666E-02,3.007389E-02,2.220777E-02,9.924838E-03
-81.40000,43.18000,6.641404E-02,3.042627E-02,2.318366E-02,1.001103E-02
-81.40000,43.55000,5.954235E-02,3.050103E-02,2.136288E-02,1.022788E-02
-81.40000,44.43000,5.247172E-02,3.112472E-02,1.939359E-02,1.063163E-02
-81.38000,44.48000,5.256348E-02,3.128085E-02,1.945473E-02,1.069291E-02
-81.33000,48.47000,8.827871E-02,3.056748E-02,2.744250E-02,9.211860E-03
-81.32000,43.88000,5.689044E-02,3.108564E-02,2.071250E-02,1.055894E-02
-81.25000,44.98000,5.460578E-02,3.264046E-02,2.027937E-02,1.116151E-02
-81.23000,42.98000,7.542847E-02,3.135416E-02,2.559889E-02,1.025248E-02
-81.22000,42.67000,8.640257E-02,3.138758E-02,2.872280E-02,1.005258E-02
-81.20000,42.78000,8.245233E-02,3.147897E-02,2.756090E-02,1.016926E-02
-81.20000,43.47000,6.407148E-02,3.150849E-02,2.287537E-02,1.059779E-02
-81.20000,46.58000,7.207813E-02,3.505195E-02,2.550253E-02,1.136270E-02
-81.17000,48.50000,1.000486E-01,3.179189E-02,2.925755E-02,9.533222E-03
-81.15000,44.12000,5.702205E-02,3.215247E-02,2.099337E-02,1.102168E-02
-81.15000,44.75000,5.502041E-02,3.288186E-02,2.052918E-02,1.130683E-02
-81.13000,43.25000,7.007956E-02,3.185972E-02,2.449400E-02,1.062562E-02
-81.08000,42.88000,8.134196E-02,3.209871E-02,2.735904E-02,1.048848E-02
-81.08000,44.28000,5.680375E-02,3.267586E-02,2.104784E-02,1.124492E-02
-81.07000,42.98000,7.865641E-02,3.219181E-02,2.662921E-02,1.058387E-02
-81.03000,44.15000,5.837837E-02,3.282049E-02,2.155307E-02,1.129306E-02
-81.02000,49.07000,1.673183E-01,3.353969E-02,3.729867E-02,9.435028E-03
-81.00000,43.07000,7.775734E-02,3.260060E-02,2.649328E-02,1.079700E-02
-81.00000,46.50000,7.722175E-02,3.675114E-02,2.737509E-02,1.193542E-02
-80.95000,43.37000,7.159330E-02,3.288853E-02,2.514729E-02,1.108507E-02
-80.95000,43.73000,6.474213E-02,3.298014E-02,2.342186E-02,1.127118E-02
-80.93000,44.57000,5.756553E-02,3.383956E-02,2.155674E-02,1.171051E-02
-80.92000,43.57000,6.816662E-02,3.309444E-02,2.437925E-02,1.125815E-02
-80.90000,43.15000,7.827388E-02,3.318579E-02,2.676398E-02,1.106835E-02
-80.88000,43.03000,8.169822E-02,3.325161E-02,2.765173E-02,1.102482E-02
-80.83000,43.32000,7.617419E-02,3.360299E-02,2.640237E-02,1.132570E-02
-80.82000,42.65000,9.340850E-02,3.323496E-02,3.122163E-02,1.080243E-02
-80.82000,44.17000,6.123173E-02,3.395481E-02,2.268193E-02,1.175326E-02
-80.75000,43.13000,8.330528E-02,3.406494E-02,2.818477E-02,1.138546E-02
-80.73000,42.85000,8.894900E-02,3.385720E-02,2.995704E-02,1.117173E-02
-80.73000,43.98000,6.513758E-02,3.428032E-02,2.389435E-02,1.185256E-02
-80.72000,51.32000,5.293169E-02,1.881485E-02,1.611004E-02,5.537970E-03
-80.68000,48.77000,1.451083E-01,3.508413E-02,3.474509E-02,1.028626E-02
-80.65000,44.32000,6.239353E-02,3.495515E-02,2.332043E-02,1.215479E-02
-80.62000,43.30000,8.473285E-02,3.495550E-02,2.865394E-02,1.179075E-02
-80.53000,43.17000,9.212990E-02,3.552488E-02,3.044802E-02,1.191003E-02
-80.52000,43.47000,8.423115E-02,3.553917E-02,2.877631E-02,1.208966E-02
